PE,CR,NQC,NK,SSR,PP,MWSE,SGID,CBB,GCT,BB,NZW,CSS,SR,MS,WT
0.00,1.04,10.50,2.50,,1.60,2.01,,4.00,7.67,5.67,,,0.42,,
0.96,0.00,,0.53,,,0.43,1.38,,4.00,,3.33,,1.20,4.37,2.33
0.10,,0.00,1.60,,0.45,,,1.50,6.00,0.75,0.70,0.62,0.38,,0.56
0.40,1.89,0.63,0.00,1.11,1.00,1.17,,,,4.50,20.00,,1.11,0.46,1.75
,,,0.90,0.00,0.60,,,2.60,2.67,0.82,3.33,1.22,0.43,0.36,1.80
0.63,,2.20,1.00,1.67,0.00,,1.14,,,,26.00,2.33,1.43,1.50,1.58
2.06,2.33,,0.86,,,0.00,0.12,5.33,,1.11,,0.55,1.13,0.22,
,0.73,,,,0.88,8.50,0.00,1.36,2.50,,0.06,1.88,0.46,,0.58
0.25,,0.67,,0.38,,0.19,11.79,0.00,,0.31,,0.90,0.14,,0.18
0.13,0.25,0.17,,0.38,,,0.40,,0.00,2.50,1.33,0.25,,0.14,1.22
0.18,,1.33,0.22,1.22,,0.90,,3.25,0.40,0.00,0.62,,0.02,,0.02
,0.30,1.42,0.05,0.30,0.04,,18.00,,0.75,1.63,0.00,0.22,,0.12,
,,1.63,,0.82,0.43,1.82,0.53,1.11,4.00,,4.60,0.00,,0.83,0.43
2.40,0.83,2.63,0.90,2.33,0.70,9.78,2.17,7.00,,59.00,,,0.00,0.93,
,1.70,,2.75,2.75,0.67,4.50,,,7.00,,8.33,1.20,1.08,0.00,
,0.43,1.80,0.57,0.56,0.63,,1.71,5.67,0.82,48.00,,2.33,,,0.00
